City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,lebu,-37.6167,-73.65,11.11,58,61,5.44,CL,1698696060
134,novodvinsk,64.4165,40.8122,-8.45,97,57,1.36,RU,1698696061
135,vilyuchinsk,52.9306,158.4028,0.52,80,77,3.14,RU,1698696061
136,port alfred,-33.5906,26.891,14.54,91,28,1.79,ZA,1698696061
137,port lincoln,-34.7333,135.8667,9.31,81,23,3.06,AU,1698696062
138,amga,60.8953,131.9608,-11.05,91,100,1.95,RU,1698696062
139,ancud,-41.8697,-73.8203,8.77,60,6,5.83,CL,1698696041
140,tosontsengel,48.7567,98.2839,-4.07,88,100,1.03,MN,1698696063
141,al kharj,24.155,47.3346,28.32,42,6,2.9,SA,1698696063
142,sosnovo-ozerskoye,52.5249,111.5418,-10.6,60,0,1.64,RU,1698696064
143,irakleion,35.3279,25.1434,21.79,86,40,3.09,GR,1698696064
144,puerto deseado,-47.7503,-65.8938,6.07,48,100,10.03,AR,1698696065
145,nadym,65.5333,72.5167,-13.22,94,15,3.01,RU,1698696066
146,whangarei,-35.7317,174.3239,16.07,99,100,3.19,NZ,1698696067
147,kingston,17.997,-76.7936,31.53,75,40,3.6,JM,1698695823
148,padang,-0.9492,100.3543,24.03,91,100,1.11,ID,1698695901
149,sarina,-21.4333,149.2167,19.78,1,10,2.06,AU,1698696070
150,aboisso,5.4678,-3.2071,25.54,90,1,1.89,CI,1698696071
151,berezovyy,51.6667,135.7,-2.13,58,7,3.84,RU,1698696071
152,laredo,27.5064,-99.5075,7.16,87,100,7.72,US,1698695807
153,muli,2.9167,73.5667,27.74,74,27,3.49,MV,1698696072
154,palmer,42.1584,-72.3287,10.75,85,100,1.54,US,1698695889
155,genet,9.0667,38.5,10.67,90,11,1.05,ET,1698696073
156,saint-joseph,-21.3667,55.6167,23.21,82,12,3.92,RE,1698696073
157,juquitiba,-23.9317,-47.0683,22.2,95,99,0.74,BR,1698696074
158,pokhara,28.2333,83.9833,17.24,52,6,2.88,NP,1698695841
159,buckie,57.6757,-2.9624,8.88,83,100,7.66,GB,1698696075
160,puerto san jose,13.9256,-90.8244,27.5,80,100,2.72,GT,1698696075
161,rosarito,32.3333,-117.0333,29.02,19,4,5.94,MX,1698696014
162,tamanrasset,22.785,5.5228,26.95,14,40,3.6,DZ,1698696076
163,el granada,37.5027,-122.4694,23.78,28,0,3.6,US,1698696076
164,kasimov,54.9411,41.3953,5.94,96,100,5.34,RU,1698696077
165,kayangel,8.0823,134.7173,28.35,74,23,3.11,PW,1698696077
166,grootfontein,-19.5667,18.1167,25.76,17,29,2.06,NA,1698696078
167,jacobina,-11.1806,-40.5183,32.39,19,73,3.19,BR,1698696078
168,carbonear,47.7332,-53.2148,6.25,49,100,4.58,CA,1698696078
169,newcastle,-32.9272,151.7765,19.88,63,50,4.12,AU,1698696000
170,gofitskoye,45.0792,43.0464,12.9,67,6,4.25,RU,1698696079
171,champasak,14.75,106.0,21.2,99,96,0.26,LA,1698696080
172,awjilah,29.1081,21.2869,23.43,47,86,3.49,LY,1698696080
173,baikonur,45.6167,63.3167,10.91,60,57,5.82,KZ,1698696081
174,peterhead,57.5058,-1.7981,5.81,62,61,8.07,GB,1698696081
175,saipan,15.1355,145.701,28.69,79,20,6.8,MP,1698696082
176,tokoroa,-38.2333,175.8667,15.53,86,100,1.79,NZ,1698696083
177,klyuchi,52.2667,79.1667,6.55,95,100,3.02,RU,1698696083
178,gournay-en-bray,49.4828,1.7247,10.41,97,99,7.02,FR,1698696083
179,midoun,33.8081,10.9923,27.92,62,100,7.37,TN,1698696084
180,scottburgh,-30.2867,30.7532,14.9,84,100,0.89,ZA,1698696084
181,porto novo,6.4965,2.6036,27.9,83,100,2.26,BJ,1698695815
182,nova sintra,14.8667,-24.7167,23.54,63,53,0.79,CV,1698696085
183,rongelap,11.1635,166.8941,28.43,79,100,10.6,MH,1698696086
184,san antonio de pale,-1.4014,5.6325,26.6,83,100,5.53,GQ,1698696086
185,new norfolk,-42.7826,147.0587,8.29,90,45,2.98,AU,1698696086
186,zuni pueblo,35.0725,-108.8506,9.35,17,0,2.38,US,1698696087
187,necochea,-38.5473,-58.7368,13.33,39,29,5.36,AR,1698696087
188,castillos,-34.1667,-53.8333,13.55,92,100,5.66,UY,1698696087
189,sobinka,55.9855,40.0111,1.7,100,100,4.6,RU,1698696087
190,la'ie,21.6477,-157.9253,29.47,71,5,1.79,US,1698696088
191,sandnessjoen,66.0217,12.6316,-1.94,86,20,6.17,NO,1698696088
192,carnarvon,-24.8667,113.6333,19.84,74,0,8.78,AU,1698696088
193,kattivakkam,13.2167,80.3167,27.82,85,99,4.36,IN,1698696088
194,sompeta,18.9333,84.6,22.88,75,19,1.95,IN,1698696089
195,jamestown,42.097,-79.2353,6.51,98,100,4.12,US,1698696053
196,kailua-kona,19.6406,-155.9956,30.89,69,0,2.68,US,1698696030
197,east london,-33.0153,27.9116,15.17,78,60,6.41,ZA,1698696089
198,ghat,24.9647,10.1728,26.8,16,0,2.4,LY,1698696090
199,arnprior,45.4334,-76.3494,4.88,95,100,3.59,CA,1698696057
200,constantia,44.1833,28.65,15.39,73,0,4.08,RO,1698696090
201,vernon,50.2581,-119.2691,4.74,48,36,0.51,CA,1698696018
202,morehead city,34.7229,-76.726,27.23,81,0,7.2,US,1698696091
203,aras-asan,8.8908,126.3033,24.96,85,68,2.16,PH,1698696091
204,nusaybin,37.0778,41.2178,23.51,31,100,1.83,TR,1698696092
205,tazovsky,67.4667,78.7,-16.99,95,21,1.91,RU,1698696093
206,paita,-5.0892,-81.1144,23.24,72,83,7.94,PE,1698696093
207,klaksvik,62.2266,-6.589,3.51,61,82,7.47,FO,1698696093
208,udachny,66.4167,112.4,-20.91,100,99,1.52,RU,1698696094
209,bredasdorp,-34.5322,20.0403,14.7,73,0,9.48,ZA,1698696094
210,rio grande,-32.035,-52.0986,21.06,90,100,4.7,BR,1698696094
211,serra talhada,-7.9919,-38.2983,34.52,18,11,1.96,BR,1698696090
